id,latitude,longitude,location,date,crime_severity
154,28.658057,77.230669,Chandni Chowk,2023-03-23,Low
155,28.551116,77.199294,Hauz Khas,2023-11-06,High
156,28.630984,77.220303,Connaught Place,2023-12-02,Medium
157,28.633795,77.219306,Connaught Place,2023-02-09,High
158,28.654248,77.228138,Chandni Chowk,2023-10-04,Medium
159,28.699574,77.1423,Pitampura,2023-04-28,High
160,28.519548,77.163475,Vasant Kunj,2023-06-16,High
161,28.548331,77.252498,Nehru Place,2023-09-26,Low
162,28.522257,77.208325,Saket,2023-09-09,Medium
163,28.52124,77.205201,Saket,2023-04-27,Low
164,28.568898,77.244201,Lajpat Nagar,2023-03-01,Low
165,28.630967,77.221691,Connaught Place,2023-11-07,Low
166,28.535905,77.260653,Kalkaji,2023-05-06,High
167,28.654228,77.22827,Chandni Chowk,2023-05-29,Low
168,28.549434,77.251809,Nehru Place,2023-03-20,Medium
169,28.600979,77.308938,Mayur Vihar,2023-04-06,Medium
170,28.644724,77.123738,Rajouri Garden,2023-06-30,Medium
171,28.655728,77.231268,Chandni Chowk,2023-10-13,Low
172,28.631601,77.219554,Connaught Place,2023-03-09,Medium
173,28.601718,77.308188,Mayur Vihar,2023-07-09,Low
174,28.651715,77.190717,Karol Bagh,2023-01-15,Medium
175,28.644649,77.123332,Rajouri Garden,2023-09-09,Medium
176,28.550434,77.200392,Hauz Khas,2023-12-28,Low
177,28.535604,77.258055,Kalkaji,2023-07-31,Medium
178,28.53951,77.258341,Kalkaji,2023-06-24,Medium
179,28.614801,77.040153,Dwarka,2023-08-25,High
180,28.65643,77.228592,Chandni Chowk,2023-09-18,Medium
181,28.611363,77.039259,Dwarka,2023-11-21,Medium
182,28.545024,77.237087,Greater Kailash,2023-01-14,Low
183,28.656618,77.22878,Chandni Chowk,2023-09-07,Low
184,28.54764,77.198673,Hauz Khas,2023-11-07,Low
185,28.52058,77.20753,Saket,2023-09-27,High
186,28.546665,77.235359,Greater Kailash,2023-02-09,Low
187,28.602063,77.305913,Mayur Vihar,2023-03-09,High
188,28.567385,77.245109,Lajpat Nagar,2023-09-02,Low
189,28.548092,77.235453,Greater Kailash,2023-04-25,Low
190,28.547398,77.250542,Nehru Place,2023-11-24,High
191,28.652288,77.191849,Karol Bagh,2023-07-04,High
192,28.698794,77.139425,Pitampura,2023-05-16,Low
193,28.60397,77.307729,Mayur Vihar,2023-07-04,Low
194,28.548051,77.252275,Nehru Place,2023-03-04,High
195,28.699647,77.142024,Pitampura,2023-05-07,High
196,28.568352,77.24395,Lajpat Nagar,2023-09-10,Low
197,28.644111,77.122153,Rajouri Garden,2023-06-17,High
198,28.52344,77.206742,Saket,2023-12-13,Medium
199,28.654615,77.231707,Chandni Chowk,2023-09-27,Medium
200,28.611826,77.040956,Dwarka,2023-12-21,Low
201,28.550672,77.250749,Nehru Place,2023-09-26,Low
202,28.657047,77.231282,Chandni Chowk,2023-03-28,High
203,28.569142,77.244231,Lajpat Nagar,2023-03-31,Low
204,28.612054,77.040963,Dwarka,2023-11-12,High
205,28.611451,77.039993,Dwarka,2023-07-16,Low
206,28.549003,77.198769,Hauz Khas,2023-04-28,High
207,28.52239,77.166694,Vasant Kunj,2023-05-31,Low
208,28.738389,77.066662,Rohini,2023-10-10,Low
209,28.655568,77.231172,Chandni Chowk,2023-12-26,High
210,28.642945,77.122581,Rajouri Garden,2023-07-13,Medium
211,28.657971,77.231382,Chandni Chowk,2023-10-06,Medium
212,28.631156,77.217717,Connaught Place,2023-03-22,Medium
213,28.655703,77.228897,Chandni Chowk,2023-10-15,Medium
214,28.656441,77.228317,Chandni Chowk,2023-04-30,Medium
215,28.657748,77.230466,Chandni Chowk,2023-11-28,High
216,28.568836,77.243138,Lajpat Nagar,2023-06-22,Low
217,28.539527,77.260755,Kalkaji,2023-02-06,Low
218,28.548729,77.200417,Hauz Khas,2023-04-08,Low
219,28.549282,77.200062,Hauz Khas,2023-02-21,Low
220,28.550463,77.250037,Nehru Place,2023-11-23,Medium
221,28.611729,77.040044,Dwarka,2023-06-15,High
222,28.738603,77.06827,Rohini,2023-06-15,Low
223,28.631185,77.220812,Connaught Place,2023-09-09,Medium
224,28.738511,77.066564,Rohini,2023-05-05,Low
225,28.656827,77.229691,Chandni Chowk,2023-08-02,Medium
226,28.568709,77.245024,Lajpat Nagar,2023-10-19,Low
227,28.634147,77.219451,Connaught Place,2023-10-15,Low
228,28.539573,77.257398,Kalkaji,2023-02-09,Low
229,28.536181,77.259591,Kalkaji,2023-03-15,Medium
230,28.65453,77.231832,Chandni Chowk,2023-05-30,Low
231,28.551367,77.201555,Hauz Khas,2023-05-31,Low
232,28.65202,77.192333,Karol Bagh,2023-08-06,Medium
233,28.613489,77.037318,Dwarka,2023-02-19,Medium
234,28.522306,77.166743,Vasant Kunj,2023-03-10,Medium
235,28.651004,77.189608,Karol Bagh,2023-12-04,Low
236,28.631413,77.218398,Connaught Place,2023-12-10,Low
237,28.738786,77.06789,Rohini,2023-08-31,Medium
238,28.655365,77.228961,Chandni Chowk,2023-11-27,Medium
239,28.641826,77.12541,Rajouri Garden,2023-03-05,High
240,28.51878,77.166737,Vasant Kunj,2023-12-30,Low
241,28.630907,77.218837,Connaught Place,2023-08-19,Low
242,28.539287,77.257939,Kalkaji,2023-03-23,Medium
243,28.642498,77.123264,Rajouri Garden,2023-10-29,Medium
244,28.545082,77.237151,Greater Kailash,2023-05-31,Low
245,28.64494,77.122639,Rajouri Garden,2023-11-24,Medium
246,28.520768,77.162904,Vasant Kunj,2023-11-03,Low
247,28.643142,77.122242,Rajouri Garden,2023-08-16,Medium
248,28.656707,77.231024,Chandni Chowk,2023-07-21,Low
249,28.642281,77.122422,Rajouri Garden,2023-07-30,High
250,28.6023,77.308313,Mayur Vihar,2023-05-17,Medium
251,28.567831,77.242253,Lajpat Nagar,2023-01-12,Low
252,28.65791,77.229767,Chandni Chowk,2023-07-24,Medium
253,28.651848,77.192291,Karol Bagh,2023-03-31,High
254,28.548231,77.236431,Greater Kailash,2023-10-07,Low
255,28.551247,77.200224,Hauz Khas,2023-02-06,Low
256,28.699149,77.140679,Pitampura,2023-07-29,Medium
257,28.535627,77.258202,Kalkaji,2023-07-09,Low
258,28.567059,77.242816,Lajpat Nagar,2023-10-14,Medium
259,28.601578,77.308603,Mayur Vihar,2023-01-30,Medium
260,28.521511,77.205751,Saket,2023-10-04,Medium
261,28.520766,77.20575,Saket,2023-02-08,Low
262,28.697583,77.140679,Pitampura,2023-11-22,Medium
263,28.655726,77.231881,Chandni Chowk,2023-05-01,Medium
264,28.548945,77.198263,Hauz Khas,2023-06-13,Low
265,28.644953,77.125127,Rajouri Garden,2023-10-09,High
266,28.650381,77.192335,Karol Bagh,2023-06-30,Medium
267,28.602736,77.309789,Mayur Vihar,2023-12-19,Medium
268,28.567134,77.2451,Lajpat Nagar,2023-07-18,Low
269,28.632669,77.219537,Connaught Place,2023-09-17,High
270,28.631479,77.219965,Connaught Place,2023-01-11,Medium
271,28.547689,77.25226,Nehru Place,2023-04-18,Medium
272,28.737571,77.067949,Rohini,2023-10-19,Low
273,28.549814,77.199731,Hauz Khas,2023-08-04,Medium
274,28.631485,77.217704,Connaught Place,2023-07-27,Medium
275,28.634285,77.220754,Connaught Place,2023-06-30,Medium
276,28.65209,77.192494,Karol Bagh,2023-07-24,High
277,28.546897,77.236382,Greater Kailash,2023-06-24,Low
278,28.548133,77.251173,Nehru Place,2023-06-05,High
279,28.522401,77.165064,Vasant Kunj,2023-07-09,Low
280,28.519978,77.16458,Vasant Kunj,2023-07-21,Low
281,28.548886,77.249229,Nehru Place,2023-08-16,Medium
282,28.600607,77.309389,Mayur Vihar,2023-04-07,High
283,28.547986,77.251689,Nehru Place,2023-09-19,High
284,28.600707,77.307606,Mayur Vihar,2023-02-21,Low
285,28.613673,77.040573,Dwarka,2023-08-25,Low
286,28.736166,77.065879,Rohini,2023-03-02,Low
287,28.698211,77.142423,Pitampura,2023-03-28,Low
288,28.700151,77.142263,Pitampura,2023-06-07,High
289,28.650126,77.191837,Karol Bagh,2023-10-28,Low
290,28.522391,77.205808,Saket,2023-07-01,Low
291,28.547612,77.202035,Hauz Khas,2023-11-19,Low
292,28.632267,77.219875,Connaught Place,2023-03-14,Low
293,28.549872,77.200677,Hauz Khas,2023-08-10,Medium
294,28.69977,77.140197,Pitampura,2023-03-03,High
295,28.600592,77.305835,Mayur Vihar,2023-09-18,High
296,28.600369,77.308954,Mayur Vihar,2023-12-17,Low
297,28.546282,77.236194,Greater Kailash,2023-02-28,Medium
298,28.523178,77.207518,Saket,2023-06-18,Low
299,28.549925,77.200555,Hauz Khas,2023-01-24,Medium
300,28.550402,77.252184,Nehru Place,2023-01-15,Medium
301,28.521462,77.208567,Saket,2023-03-14,Medium
302,28.549075,77.198609,Hauz Khas,2023-10-16,Medium
303,28.650351,77.191615,Karol Bagh,2023-06-01,High
304,28.536227,77.259122,Kalkaji,2023-07-24,Medium
305,28.566057,77.245494,Lajpat Nagar,2023-05-14,Medium
306,28.566052,77.241857,Lajpat Nagar,2023-05-23,Medium
307,28.520543,77.164216,Vasant Kunj,2023-09-10,Low
308,28.737136,77.065105,Rohini,2023-05-16,Low
309,28.544438,77.235188,Greater Kailash,2023-03-12,High
310,28.54971,77.249518,Nehru Place,2023-08-03,Medium
311,28.600166,77.3088,Mayur Vihar,2023-04-03,Low
312,28.657057,77.230987,Chandni Chowk,2023-07-27,High
313,28.611166,77.038643,Dwarka,2023-10-21,Medium
314,28.65276,77.190335,Karol Bagh,2023-08-10,High
315,28.69792,77.140039,Pitampura,2023-06-22,Medium
316,28.634788,77.220381,Connaught Place,2023-10-07,Medium
317,28.611999,77.037872,Dwarka,2023-07-20,Low
318,28.538393,77.25788,Kalkaji,2023-10-07,Low
319,28.56855,77.242418,Lajpat Nagar,2023-10-29,Low
320,28.55076,77.19972,Hauz Khas,2023-08-26,Medium
321,28.735312,77.065498,Rohini,2023-07-25,Low
322,28.736405,77.067378,Rohini,2023-08-01,High
323,28.565426,77.245041,Lajpat Nagar,2023-10-12,Low
324,28.612113,77.039863,Dwarka,2023-09-12,High
325,28.658044,77.229802,Chandni Chowk,2023-01-24,Low
326,28.603875,77.30962,Mayur Vihar,2023-02-17,Medium
327,28.699048,77.141827,Pitampura,2023-02-20,Low
328,28.6327,77.221075,Connaught Place,2023-06-22,High
329,28.738404,77.065916,Rohini,2023-09-21,Medium
330,28.611808,77.039503,Dwarka,2023-09-05,Low
331,28.52092,77.204785,Saket,2023-07-05,Low
332,28.735769,77.065365,Rohini,2023-08-25,High
333,28.548027,77.201519,Hauz Khas,2023-08-28,Low
334,28.547712,77.198253,Hauz Khas,2023-01-03,Low
335,28.549199,77.19877,Hauz Khas,2023-09-16,Low
336,28.634353,77.218999,Connaught Place,2023-04-16,Low
337,28.612282,77.040134,Dwarka,2023-09-06,Low
338,28.568064,77.243663,Lajpat Nagar,2023-03-26,Medium
339,28.60134,77.308889,Mayur Vihar,2023-05-15,Low
340,28.600604,77.307584,Mayur Vihar,2023-03-02,Medium
341,28.567083,77.243918,Lajpat Nagar,2023-07-20,High
342,28.545472,77.234979,Greater Kailash,2023-05-23,High
343,28.536102,77.260251,Kalkaji,2023-07-10,Medium
344,28.567015,77.242707,Lajpat Nagar,2023-10-31,Medium
345,28.656546,77.229907,Chandni Chowk,2023-11-23,Low
346,28.568623,77.244841,Lajpat Nagar,2023-08-04,Low
347,28.633848,77.220316,Connaught Place,2023-12-16,Low
348,28.633129,77.220642,Connaught Place,2023-07-21,Low
349,28.522253,77.1649,Vasant Kunj,2023-01-23,Medium
350,28.612551,77.039594,Dwarka,2023-06-27,Medium
351,28.518667,77.164546,Vasant Kunj,2023-04-03,High
352,28.537385,77.259228,Kalkaji,2023-12-16,High
353,28.645006,77.125869,Rajouri Garden,2023-03-18,High
354,28.634083,77.22073,Connaught Place,2023-01-02,Low
355,28.737007,77.065208,Rohini,2023-02-05,Medium
356,28.737555,77.068229,Rohini,2023-02-17,Low
357,28.611462,77.038154,Dwarka,2023-07-02,Medium
358,28.549783,77.199329,Hauz Khas,2023-10-09,High
359,28.602969,77.309363,Mayur Vihar,2023-09-17,Medium
360,28.69809,77.141137,Pitampura,2023-01-05,Low
361,28.550191,77.250512,Nehru Place,2023-06-30,Low
362,28.519793,77.165298,Vasant Kunj,2023-11-17,Low
363,28.567386,77.244465,Lajpat Nagar,2023-06-25,Medium
364,28.656686,77.228796,Chandni Chowk,2023-05-20,Low
365,28.523522,77.207005,Saket,2023-12-03,Medium
366,28.61468,77.038712,Dwarka,2023-05-22,High
367,28.735636,77.066721,Rohini,2023-03-03,High
368,28.601445,77.307586,Mayur Vihar,2023-10-01,Low
369,28.569005,77.244462,Lajpat Nagar,2023-02-13,Low
370,28.658039,77.230157,Chandni Chowk,2023-11-15,Medium
371,28.656837,77.228287,Chandni Chowk,2023-05-27,Low
372,28.632115,77.219713,Connaught Place,2023-10-26,High
373,28.600616,77.308869,Mayur Vihar,2023-09-17,Low
374,28.645124,77.12337,Rajouri Garden,2023-10-12,Low
375,28.568317,77.244272,Lajpat Nagar,2023-01-06,Medium
376,28.696928,77.141466,Pitampura,2023-02-03,Medium
377,28.523896,77.208263,Saket,2023-01-21,Low
378,28.545498,77.235814,Greater Kailash,2023-08-23,Low
379,28.550332,77.201837,Hauz Khas,2023-12-31,Low
380,28.538865,77.26115,Kalkaji,2023-06-04,Low
381,28.520869,77.163465,Vasant Kunj,2023-04-13,High
382,28.654572,77.231123,Chandni Chowk,2023-06-06,Low
383,28.549451,77.1991,Hauz Khas,2023-08-28,Low
384,28.738515,77.068129,Rohini,2023-09-22,Low
385,28.735865,77.065241,Rohini,2023-03-04,Medium
386,28.548709,77.199811,Hauz Khas,2023-08-18,Low
387,28.536981,77.258251,Kalkaji,2023-08-26,High
388,28.698817,77.142492,Pitampura,2023-10-16,Low
389,28.631246,77.218741,Connaught Place,2023-10-23,Low
390,28.551346,77.19976,Hauz Khas,2023-10-17,High
391,28.536281,77.258758,Kalkaji,2023-07-26,Low
392,28.645183,77.125122,Rajouri Garden,2023-02-15,Low
393,28.565424,77.243631,Lajpat Nagar,2023-03-08,Low
394,28.603839,77.305814,Mayur Vihar,2023-10-15,Medium
395,28.601596,77.306276,Mayur Vihar,2023-01-06,Medium
396,28.565604,77.242644,Lajpat Nagar,2023-06-03,Medium
397,28.63473,77.221454,Connaught Place,2023-06-25,Low
398,28.539192,77.259535,Kalkaji,2023-04-28,Low
399,28.655154,77.230204,Chandni Chowk,2023-03-10,Medium
400,28.657277,77.230225,Chandni Chowk,2023-02-27,Medium
401,28.567873,77.242844,Lajpat Nagar,2023-10-25,Low
402,28.613261,77.037878,Dwarka,2023-03-07,Medium
403,28.56902,77.244197,Lajpat Nagar,2023-05-24,Medium
404,28.600593,77.307149,Mayur Vihar,2023-10-18,Low
405,28.632531,77.221564,Connaught Place,2023-03-15,High
406,28.523637,77.205021,Saket,2023-02-11,Low
407,28.697268,77.143353,Pitampura,2023-03-22,Medium
408,28.549168,77.201464,Hauz Khas,2023-09-09,Medium
409,28.550541,77.250528,Nehru Place,2023-11-07,Low
410,28.538051,77.258226,Kalkaji,2023-11-07,Low
411,28.519584,77.163971,Vasant Kunj,2023-04-15,High
412,28.566459,77.245794,Lajpat Nagar,2023-05-24,Low
413,28.547448,77.237809,Greater Kailash,2023-04-03,Low
414,28.539512,77.258618,Kalkaji,2023-05-26,Low
415,28.642354,77.122125,Rajouri Garden,2023-05-28,Low
416,28.548116,77.252732,Nehru Place,2023-01-23,Low
417,28.652356,77.192482,Karol Bagh,2023-07-15,Medium
418,28.611442,77.038945,Dwarka,2023-07-02,Low
419,28.521679,77.208185,Saket,2023-04-16,Medium
420,28.614446,77.039295,Dwarka,2023-12-29,Medium
421,28.651755,77.192325,Karol Bagh,2023-03-24,Medium
422,28.612746,77.038804,Dwarka,2023-07-23,Medium
423,28.643891,77.123919,Rajouri Garden,2023-04-12,Medium
424,28.520991,77.207569,Saket,2023-08-29,High
425,28.651472,77.191035,Karol Bagh,2023-07-26,High
426,28.737333,77.06819,Rohini,2023-11-16,Low
427,28.612308,77.038522,Dwarka,2023-10-22,High
428,28.537931,77.257455,Kalkaji,2023-07-21,Medium
429,28.736947,77.06879,Rohini,2023-09-01,High
430,28.657424,77.231991,Chandni Chowk,2023-10-02,Low
431,28.602149,77.306976,Mayur Vihar,2023-06-14,Low
432,28.5198,77.164641,Vasant Kunj,2023-11-26,High
433,28.737232,77.066487,Rohini,2023-09-07,Low
434,28.61269,77.039628,Dwarka,2023-02-07,Low
435,28.633342,77.220854,Connaught Place,2023-12-22,Low
436,28.538175,77.25955,Kalkaji,2023-07-17,Medium
437,28.650713,77.189487,Karol Bagh,2023-03-11,Medium
438,28.613077,77.04084,Dwarka,2023-12-28,Low
439,28.642594,77.122208,Rajouri Garden,2023-11-02,Medium
440,28.5228,77.205504,Saket,2023-10-22,Medium
441,28.522465,77.207354,Saket,2023-10-11,Medium
442,28.612438,77.04017,Dwarka,2023-07-22,Low
443,28.651487,77.189617,Karol Bagh,2023-02-08,Low
444,28.568689,77.243584,Lajpat Nagar,2023-05-05,Low
445,28.521685,77.166191,Vasant Kunj,2023-03-21,Low
446,28.535715,77.258017,Kalkaji,2023-07-14,Medium
447,28.697101,77.140318,Pitampura,2023-07-06,Low
448,28.64383,77.12248,Rajouri Garden,2023-12-30,Low
449,28.548467,77.201891,Hauz Khas,2023-02-17,High
450,28.521474,77.20792,Saket,2023-05-12,Low
451,28.56582,77.242039,Lajpat Nagar,2023-12-14,Medium
452,28.649607,77.192087,Karol Bagh,2023-03-29,Medium
453,28.549051,77.250608,Nehru Place,2023-11-30,Medium
454,28.535986,77.258156,Kalkaji,2023-11-12,Medium
455,28.699833,77.141157,Pitampura,2023-12-24,Medium
456,28.645437,77.124396,Rajouri Garden,2023-05-29,High
457,28.65024,77.191765,Karol Bagh,2023-10-30,Low
458,28.658121,77.229648,Chandni Chowk,2023-08-29,Low
459,28.631849,77.21989,Connaught Place,2023-11-28,Low
460,28.547927,77.252322,Nehru Place,2023-02-01,Medium
461,28.547851,77.235513,Greater Kailash,2023-11-06,High
462,28.739201,77.068537,Rohini,2023-06-19,Low
463,28.738644,77.066927,Rohini,2023-05-02,High
464,28.697016,77.143131,Pitampura,2023-03-04,Low
465,28.549873,77.2008,Hauz Khas,2023-03-24,Low
466,28.565301,77.244306,Lajpat Nagar,2023-01-09,High
467,28.551008,77.251645,Nehru Place,2023-07-15,High
468,28.535655,77.258752,Kalkaji,2023-02-08,Low
469,28.656633,77.231172,Chandni Chowk,2023-05-19,Low
