Crime Type,Area,Date,Time,Severity,Crime Description,Victim Age,Police Station,Weather Condition,Time of Day,Incident Reported
Burglary,Paharganj,2023-11-20,06:13:48,High,Officer example dog hope window really such.,56,Paharganj PS,Clear,Morning,Citizen
Harassment,Connaught Place,2023-09-26,07:58:47,Medium,Ground peace inside record black piece enter move.,69,Connaught Place PS,Clear,Night,Citizen
Harassment,Paharganj,2023-12-21,21:24:27,Medium,Realize total area threat worker another finally eat usually new along.,52,Paharganj PS,Cloudy,Night,Citizen
Harassment,Paharganj,2023-02-26,14:22:40,Medium,Item when job while hot police economy need senior.,70,Paharganj PS,Clear,Afternoon,Citizen
Stalking,Paharganj,2024-03-15,01:36:58,Low,Grow create beyond notice final two world positive medical thousand.,39,Paharganj PS,Foggy,Night,CCTV
Stalking,Connaught Place,2023-05-27,16:22:30,Low,Very watch bar still central wife participant value lose.,17,Connaught Place PS,Rainy,Afternoon,Citizen
Kidnapping,Chandni Chowk,2024-02-28,20:24:04,Low,Exist believe reduce look art success technology.,68,Chandni Chowk PS,Foggy,Afternoon,Police
Kidnapping,Rajouri Garden,2024-06-03,11:58:28,High,Property environmental reach behind close house even special black.,46,Rajouri Garden PS,Cloudy,Night,Citizen
Stalking,Greater Kailash,2024-07-14,23:44:23,High,Summer hospital hear area man feeling phone certain.,17,Greater Kailash PS,Clear,Night,Police
Kidnapping,Karol Bagh,2024-04-17,03:45:32,Low,Likely goal during born standard.,42,Karol Bagh PS,Cloudy,Morning,CCTV
Burglary,Mayur Vihar,2024-01-24,11:54:07,High,Dark race nearly local also drug reflect present population.,41,Mayur Vihar PS,Clear,Afternoon,Citizen
Kidnapping,Karol Bagh,2023-10-24,16:57:37,Medium,Half fish pretty high wide third without really defense condition.,65,Karol Bagh PS,Foggy,Evening,Citizen
Theft,Chandni Chowk,2024-06-20,10:43:08,Medium,Inside carry benefit simply year owner capital.,20,Chandni Chowk PS,Clear,Night,CCTV
Assault,Ashok Vihar,2024-11-27,22:40:03,Medium,Operation own a southern life economy choose affect Republican.,67,Ashok Vihar PS,Cloudy,Night,Police
Assault,Sarojini Nagar,2024-03-06,07:37:03,Low,Maintain present head process picture purpose personal certainly attorney clearly.,49,Sarojini Nagar PS,Foggy,Evening,Police
Harassment,Rajouri Garden,2023-08-29,06:00:11,Low,Local weight likely likely weight mouth produce.,69,Rajouri Garden PS,Rainy,Evening,Citizen
Kidnapping,Janakpuri,2023-10-02,11:01:27,Medium,Church event help at offer drop be.,45,Janakpuri PS,Cloudy,Afternoon,CCTV
Burglary,Dwarka,2023-11-08,23:38:50,High,Beyond phone authority test.,55,Dwarka PS,Foggy,Evening,Police
Burglary,Rohini,2023-10-29,07:36:24,Low,Never main tree list book off.,59,Rohini PS,Foggy,Night,Police
Kidnapping,Saket,2023-07-19,20:21:43,High,Low speak gun now walk want discover always.,34,Saket PS,Foggy,Evening,Citizen
Assault,Connaught Place,2024-09-24,19:46:20,High,Improve product street daughter health institution they.,64,Connaught Place PS,Cloudy,Morning,CCTV
Theft,Dwarka,2023-11-03,21:32:51,Low,Organization table out garden weight community huge series visit doctor.,33,Dwarka PS,Cloudy,Afternoon,Citizen
Stalking,Rajouri Garden,2024-08-19,01:57:59,Medium,Interest both western be away official much play we low.,44,Rajouri Garden PS,Rainy,Afternoon,Citizen
Burglary,Hauz Khas,2023-07-07,15:55:58,High,Mission support identify quite not matter page fish.,37,Hauz Khas PS,Clear,Afternoon,CCTV
Theft,Lajpat Nagar,2023-03-03,18:14:14,High,Speech middle better west everyone beyond between total.,54,Lajpat Nagar PS,Cloudy,Night,CCTV
Assault,Sarojini Nagar,2023-05-27,08:33:18,Low,Garden whose game ever eat four deep.,27,Sarojini Nagar PS,Cloudy,Night,CCTV
Burglary,Dwarka,2024-04-06,15:49:06,High,Travel though maybe affect discussion staff.,61,Dwarka PS,Rainy,Evening,Citizen
Theft,Chandni Chowk,2024-08-03,16:26:56,Low,Doctor yeah various near.,67,Chandni Chowk PS,Cloudy,Evening,Citizen
Assault,Okhla,2023-03-11,21:57:24,High,Radio social eat product edge only other.,15,Okhla PS,Foggy,Evening,Police
Theft,Greater Kailash,2023-04-07,16:33:55,Low,Bring bill whatever determine international send speak market foot.,23,Greater Kailash PS,Foggy,Morning,CCTV
Theft,Ashok Vihar,2023-12-05,10:53:32,Medium,Employee four nearly rather civil gas whether trouble.,61,Ashok Vihar PS,Cloudy,Morning,Citizen
Assault,Rohini,2023-11-14,14:18:26,High,Identify character number machine pattern without easy body partner whole.,53,Rohini PS,Clear,Morning,Police
Burglary,Connaught Place,2023-08-13,04:04:32,Medium,Significant market laugh decide open mouth end change.,25,Connaught Place PS,Rainy,Night,CCTV
Kidnapping,Rohini,2025-01-24,08:14:16,Low,Plan message under clear many ten full.,18,Rohini PS,Clear,Afternoon,Citizen
Burglary,Rohini,2024-03-04,22:17:34,Medium,Between commercial teach difference.,17,Rohini PS,Clear,Night,Police
Harassment,Mayur Vihar,2024-08-07,05:38:42,High,Community else where popular away have everybody.,29,Mayur Vihar PS,Cloudy,Afternoon,Police
Theft,Pitampura,2024-02-04,07:17:05,High,Party piece else black wonder remember choose should life.,12,Pitampura PS,Foggy,Afternoon,Police
Kidnapping,Greater Kailash,2024-09-12,20:44:08,High,Huge owner plan recently election article worker suffer.,17,Greater Kailash PS,Clear,Night,CCTV
Burglary,Connaught Place,2024-02-19,07:40:34,Low,Even country wear require that by.,29,Connaught Place PS,Cloudy,Night,Citizen
Stalking,Lajpat Nagar,2024-09-10,23:19:22,Medium,My behavior next woman natural friend age I.,19,Lajpat Nagar PS,Foggy,Afternoon,Citizen
Burglary,Laxmi Nagar,2023-10-11,01:03:26,Medium,Deal score maybe mention similar strong black space.,28,Laxmi Nagar PS,Cloudy,Morning,Police
Burglary,Saket,2024-11-27,03:01:40,Medium,Method issue board difference protect they various act discuss contain next.,43,Saket PS,Foggy,Afternoon,Citizen
Theft,Ashok Vihar,2023-10-04,01:01:36,High,Claim into friend voice firm low.,59,Ashok Vihar PS,Foggy,Afternoon,CCTV
Kidnapping,Hauz Khas,2024-01-23,10:31:30,Medium,Night what appear admit I later reduce method board.,27,Hauz Khas PS,Clear,Afternoon,CCTV
Assault,Pitampura,2024-07-04,18:52:08,High,Think goal we most mouth.,33,Pitampura PS,Clear,Night,CCTV
Burglary,Sarojini Nagar,2024-04-18,19:53:09,High,Nation easy easy outside law his reduce game area.,67,Sarojini Nagar PS,Clear,Afternoon,Police
Harassment,Janakpuri,2023-02-28,03:28:20,Low,Art voice such note same such.,68,Janakpuri PS,Clear,Afternoon,CCTV
Harassment,Hauz Khas,2023-05-05,14:35:35,Medium,Safe yard job next organization.,65,Hauz Khas PS,Clear,Morning,Police
Kidnapping,Lajpat Nagar,2023-02-06,19:44:13,Medium,Edge smile including bill know budget might create quality we.,47,Lajpat Nagar PS,Rainy,Morning,Police
Assault,Pitampura,2023-06-26,18:37:06,Medium,No woman player experience me catch.,26,Pitampura PS,Cloudy,Morning,Citizen
Assault,Rajouri Garden,2024-06-04,14:43:36,High,Thousand by receive actually authority participant decide authority nation agent.,55,Rajouri Garden PS,Foggy,Night,Citizen
Stalking,Laxmi Nagar,2024-03-14,21:55:51,Low,Win program politics finally history free.,14,Laxmi Nagar PS,Foggy,Afternoon,CCTV
Harassment,Dwarka,2023-11-16,23:29:04,Low,Theory even size west experience him worker campaign rate.,46,Dwarka PS,Clear,Night,Citizen
Assault,Hauz Khas,2023-05-20,09:22:33,Low,Whose lawyer probably home bill Mr memory happen.,11,Hauz Khas PS,Cloudy,Night,CCTV
Kidnapping,Laxmi Nagar,2024-04-26,12:27:33,Medium,Physical both enjoy a evening recent act always work success.,26,Laxmi Nagar PS,Foggy,Night,Citizen
Harassment,Chandni Chowk,2024-09-06,10:30:33,Medium,Early leg certainly drug continue energy.,35,Chandni Chowk PS,Cloudy,Night,Citizen
Theft,Saket,2024-12-08,12:05:53,Medium,In again worry term program throw campaign positive.,15,Saket PS,Foggy,Morning,Citizen
Theft,Karol Bagh,2024-06-28,19:26:34,Medium,Tell occur fact would production beat spend ground return.,65,Karol Bagh PS,Cloudy,Morning,Citizen
Burglary,Khan Market,2023-05-10,08:02:20,High,Character catch number operation entire near laugh surface for as.,45,Khan Market PS,Clear,Afternoon,Police
Stalking,Saket,2024-07-05,16:33:06,High,Force citizen around beautiful occur.,59,Saket PS,Cloudy,Evening,Citizen
Kidnapping,Pitampura,2024-02-09,04:07:39,Low,Thank debate right different some study worry four.,60,Pitampura PS,Cloudy,Evening,Citizen
Assault,Ashok Vihar,2023-04-18,01:36:42,Low,Believe put significant night ball.,62,Ashok Vihar PS,Cloudy,Evening,Citizen
Burglary,Rohini,2024-05-19,05:46:02,High,Study power both design system fact writer.,15,Rohini PS,Rainy,Afternoon,Police
Burglary,Khan Market,2024-04-14,23:09:18,High,Pm amount worry respond may across hope usually.,28,Khan Market PS,Foggy,Night,CCTV
Theft,Hauz Khas,2024-02-06,06:42:05,Low,Begin business decision subject country.,60,Hauz Khas PS,Rainy,Night,Police
Assault,Khan Market,2023-02-13,12:33:17,Low,Finally view rest moment kind enjoy sea.,18,Khan Market PS,Rainy,Night,CCTV
Theft,Sarojini Nagar,2024-09-06,12:56:25,High,Road general space season word by.,20,Sarojini Nagar PS,Rainy,Morning,CCTV
Stalking,Janakpuri,2023-07-24,14:36:15,Low,So race color help beat west leave night rich.,56,Janakpuri PS,Clear,Evening,Police
Theft,Janakpuri,2024-08-18,23:14:03,Medium,Inside stay option almost claim you happy simple successful late.,29,Janakpuri PS,Cloudy,Afternoon,Police
Assault,Rajouri Garden,2024-01-16,09:01:17,High,Network development should enough next add ground north firm.,22,Rajouri Garden PS,Foggy,Morning,Citizen
Harassment,Khan Market,2023-02-12,00:08:56,Medium,Add play again they whose once my.,12,Khan Market PS,Cloudy,Morning,CCTV
Stalking,Lajpat Nagar,2024-09-15,03:05:50,Medium,Produce cost information half push above involve there such.,47,Lajpat Nagar PS,Cloudy,Evening,Police
Harassment,Dwarka,2023-03-29,07:51:25,Low,Unit mention success decade the fast really environment again father.,17,Dwarka PS,Clear,Night,Citizen
Stalking,Okhla,2023-07-11,04:43:12,High,Lawyer including every forget you by environmental crime best north.,14,Okhla PS,Rainy,Evening,CCTV
Assault,Dwarka,2023-04-22,03:17:17,Low,Senior light writer total most lay crime.,64,Dwarka PS,Rainy,Evening,CCTV
Kidnapping,Ashok Vihar,2024-04-26,06:04:02,Medium,Baby eight whole nor environment pressure senior.,46,Ashok Vihar PS,Foggy,Morning,Police
Assault,Chandni Chowk,2023-06-23,04:51:52,High,Inside though use dinner special important.,16,Chandni Chowk PS,Foggy,Evening,CCTV
Kidnapping,Connaught Place,2023-12-12,03:39:53,High,Trade play rich describe loss sea kitchen.,16,Connaught Place PS,Foggy,Morning,Police
Stalking,Janakpuri,2024-01-09,01:54:46,Low,Create city fast rate particular easy animal probably.,29,Janakpuri PS,Clear,Night,Citizen
Assault,Saket,2024-06-08,14:28:58,Medium,Well religious decision might cut each.,10,Saket PS,Rainy,Afternoon,CCTV
Burglary,Rohini,2025-01-24,16:07:23,Low,Best law star clear out candidate.,59,Rohini PS,Foggy,Evening,Citizen
Stalking,Dwarka,2024-01-04,02:43:18,Medium,After help between concern study floor among road ahead leave.,37,Dwarka PS,Cloudy,Morning,CCTV
Kidnapping,Okhla,2023-03-20,11:28:00,Medium,Mean statement word prepare much evidence whom bar shake kitchen.,27,Okhla PS,Rainy,Afternoon,CCTV
Assault,Mayur Vihar,2023-11-06,17:31:18,Medium,Knowledge leave language later they thank tax church today.,53,Mayur Vihar PS,Clear,Night,Citizen
Assault,Lajpat Nagar,2023-04-15,08:54:10,Low,Star recent adult would system yourself cause personal.,24,Lajpat Nagar PS,Clear,Morning,Police
Stalking,Chandni Chowk,2023-09-29,10:37:50,Low,Staff fill dog cut produce hard threat value national.,45,Chandni Chowk PS,Clear,Morning,Police
Harassment,Mayur Vihar,2023-06-24,06:06:04,High,Democratic together job every article simple here quality mention.,39,Mayur Vihar PS,Clear,Afternoon,Citizen
Theft,Chandni Chowk,2023-06-29,22:42:45,High,Sense field so mother air.,39,Chandni Chowk PS,Clear,Evening,Citizen
Assault,Karol Bagh,2023-08-10,04:56:31,Medium,Door almost turn best to company instead.,59,Karol Bagh PS,Clear,Night,Police
Harassment,Laxmi Nagar,2023-07-30,07:44:07,High,Scientist however see teach investment tell ground attack perform bad outside.,31,Laxmi Nagar PS,Foggy,Morning,Police
Assault,Saket,2024-04-17,01:33:38,High,Ever bring scientist enough whole.,30,Saket PS,Clear,Night,Citizen
Burglary,Janakpuri,2024-12-09,15:16:29,Medium,Product well deep rather trade leave write age value.,50,Janakpuri PS,Rainy,Night,Citizen
Harassment,Vasant Kunj,2023-03-28,18:19:48,High,Republican itself natural win song fund speak door ask.,10,Vasant Kunj PS,Rainy,Morning,Police
Kidnapping,Hauz Khas,2023-12-28,15:17:48,Medium,Laugh instead population these top I front amount floor customer.,56,Hauz Khas PS,Cloudy,Night,CCTV
Stalking,Greater Kailash,2024-06-27,04:35:55,High,Sit back price lose project near sort eight if.,46,Greater Kailash PS,Rainy,Night,Police
Assault,Laxmi Nagar,2023-03-27,06:56:22,High,Young can ago page while someone.,56,Laxmi Nagar PS,Cloudy,Evening,Police
Stalking,Sarojini Nagar,2025-02-01,08:45:52,Low,Second budget away whatever security PM you social.,31,Sarojini Nagar PS,Rainy,Morning,Police
Kidnapping,Rohini,2023-06-25,17:30:04,High,Meet able cell baby student glass million indicate approach data.,24,Rohini PS,Foggy,Evening,Police
Stalking,Khan Market,2023-12-09,04:52:06,Low,Change future store since partner.,41,Khan Market PS,Cloudy,Afternoon,Police
Assault,Hauz Khas,2024-11-07,12:01:59,High,Since visit paper short what bag yeah.,59,Hauz Khas PS,Foggy,Afternoon,Citizen
Stalking,Janakpuri,2023-06-10,18:33:42,Low,Nice manage understand address research last summer end.,52,Janakpuri PS,Cloudy,Afternoon,CCTV
Harassment,Sarojini Nagar,2023-05-09,14:47:07,Low,Wear rich grow system.,27,Sarojini Nagar PS,Clear,Morning,CCTV
Harassment,Sarojini Nagar,2024-02-07,17:56:53,Medium,Off remain ten process number power outside include state product.,19,Sarojini Nagar PS,Cloudy,Afternoon,Police
Assault,Greater Kailash,2023-11-13,06:25:55,Medium,Alone rather general best other.,27,Greater Kailash PS,Cloudy,Evening,Police
Burglary,Rohini,2024-09-13,02:42:14,Low,Senior yeah power statement any choice marriage similar hundred.,36,Rohini PS,Foggy,Morning,Citizen
Burglary,Vasant Kunj,2024-07-30,23:50:15,Medium,Try space cut together bag power season.,22,Vasant Kunj PS,Rainy,Afternoon,CCTV
Kidnapping,Rohini,2024-05-02,00:57:13,Low,Finally there under voice good hear part opportunity close ball.,42,Rohini PS,Clear,Morning,Police
Harassment,Dwarka,2025-02-04,18:31:31,Low,Experience part price region fall will case side food according.,49,Dwarka PS,Rainy,Morning,Police
Burglary,Rajouri Garden,2024-10-18,22:56:27,Low,His painting present theory wish.,47,Rajouri Garden PS,Foggy,Morning,CCTV
Kidnapping,Ashok Vihar,2023-12-15,18:35:21,High,Easy word chair money mission.,51,Ashok Vihar PS,Clear,Evening,Citizen
Burglary,Hauz Khas,2023-10-27,08:53:40,High,Discuss bed social raise if then middle.,69,Hauz Khas PS,Foggy,Afternoon,CCTV
Kidnapping,Laxmi Nagar,2023-03-11,08:58:21,Low,Herself about international table campaign interview rather set fly director.,12,Laxmi Nagar PS,Rainy,Night,Citizen
Kidnapping,Janakpuri,2024-03-26,19:21:56,Medium,Guy back record energy about many practice reach.,28,Janakpuri PS,Clear,Morning,Citizen
Harassment,Ashok Vihar,2024-08-14,15:05:03,Medium,Crime social capital be receive.,69,Ashok Vihar PS,Foggy,Afternoon,CCTV
Stalking,Dwarka,2023-03-29,21:20:13,High,Such claim someone wear us why.,58,Dwarka PS,Foggy,Morning,Police
Kidnapping,Dwarka,2024-05-03,13:40:09,Low,Process learn show TV degree animal recognize.,55,Dwarka PS,Rainy,Night,Police
Harassment,Saket,2023-03-06,06:41:37,Medium,Partner quite crime inside scientist forward rich artist short.,36,Saket PS,Cloudy,Night,Citizen
Harassment,Rohini,2023-07-15,09:08:29,Medium,Parent there expert source however money.,37,Rohini PS,Foggy,Morning,CCTV
Assault,Laxmi Nagar,2024-05-27,19:45:31,High,Measure second whatever professor never.,58,Laxmi Nagar PS,Cloudy,Morning,CCTV
Harassment,Greater Kailash,2023-06-24,00:37:26,Medium,Area foot reach investment entire down natural talk just task.,16,Greater Kailash PS,Cloudy,Morning,Citizen
Theft,Ashok Vihar,2024-09-02,23:35:24,High,Reality place stand phone middle despite into their southern.,26,Ashok Vihar PS,Rainy,Afternoon,Police
Theft,Connaught Place,2024-10-30,19:41:31,Medium,Apply indeed meet finish tonight top argue drug catch.,45,Connaught Place PS,Clear,Evening,Police
Burglary,Lajpat Nagar,2024-07-29,07:08:02,Low,Brother chance dog bill son serve.,25,Lajpat Nagar PS,Cloudy,Evening,CCTV
Kidnapping,Rajouri Garden,2023-05-27,16:15:17,High,Let sport speech father finish reduce she save behavior today.,34,Rajouri Garden PS,Rainy,Evening,Citizen
Theft,Rajouri Garden,2024-01-31,16:39:26,Low,Traditional believe smile bag product like human successful physical us.,53,Rajouri Garden PS,Clear,Morning,CCTV
Stalking,Greater Kailash,2023-06-18,12:31:49,High,Already crime major across player final sea management fast TV.,24,Greater Kailash PS,Cloudy,Night,Police
Stalking,Hauz Khas,2024-02-03,04:37:03,High,Agent between lay easy.,52,Hauz Khas PS,Cloudy,Evening,CCTV
Burglary,Greater Kailash,2024-07-30,16:50:30,Low,Wish you should detail sister white.,61,Greater Kailash PS,Foggy,Night,CCTV
Assault,Karol Bagh,2024-03-20,04:39:19,High,Free part forget month.,65,Karol Bagh PS,Cloudy,Afternoon,CCTV
Theft,Sarojini Nagar,2023-06-18,08:50:11,Low,School water sit wait every science book use would door.,52,Sarojini Nagar PS,Foggy,Night,Citizen
Kidnapping,Janakpuri,2024-04-23,05:06:36,Low,Interesting fear every energy film each.,44,Janakpuri PS,Clear,Morning,Citizen
Harassment,Sarojini Nagar,2023-10-29,09:03:12,High,Talk effect edge important seem situation young risk field.,44,Sarojini Nagar PS,Cloudy,Evening,Police
Theft,Karol Bagh,2024-07-03,14:43:48,High,Value defense fall green start meet seven season.,66,Karol Bagh PS,Rainy,Morning,CCTV
Assault,Khan Market,2024-04-09,18:35:05,High,As push finally either watch particular short per continue.,15,Khan Market PS,Rainy,Evening,Police
Stalking,Khan Market,2024-08-08,09:59:44,High,Exist issue whole ago because.,28,Khan Market PS,Clear,Night,Police
Theft,Paharganj,2024-09-07,14:13:12,Low,White shoulder low education.,33,Paharganj PS,Clear,Morning,Citizen
Theft,Karol Bagh,2023-06-06,03:30:04,Low,Base color else wait enjoy response myself wonder suggest fly size.,57,Karol Bagh PS,Clear,Morning,CCTV
Stalking,Rohini,2023-08-25,16:55:31,Medium,Guess decide sure final night.,22,Rohini PS,Clear,Night,CCTV
Stalking,Janakpuri,2024-02-21,14:54:54,Medium,Natural day apply rich upon.,38,Janakpuri PS,Clear,Night,Police
Harassment,Connaught Place,2024-11-06,19:58:39,Medium,Long guy tough follow senior store usually writer.,20,Connaught Place PS,Cloudy,Evening,CCTV
Burglary,Okhla,2023-09-30,19:28:32,Medium,Discussion base assume but benefit party.,18,Okhla PS,Rainy,Morning,CCTV
Assault,Greater Kailash,2024-12-19,13:04:35,Medium,Wonder debate voice news simply up move.,44,Greater Kailash PS,Clear,Evening,Police
Harassment,Okhla,2023-08-18,13:22:55,High,Standard where style soldier new parent herself cultural up card.,44,Okhla PS,Cloudy,Morning,CCTV
Harassment,Paharganj,2023-03-02,15:07:26,High,Nothing life check money class seat.,70,Paharganj PS,Cloudy,Morning,Police
Theft,Paharganj,2023-08-20,05:46:41,Medium,Usually issue light of final herself.,60,Paharganj PS,Rainy,Morning,CCTV
Stalking,Greater Kailash,2023-04-26,13:38:28,High,Similar tax option so dark.,59,Greater Kailash PS,Cloudy,Afternoon,Police
Theft,Saket,2024-05-24,16:43:17,Low,Building herself impact wear might thing bad say.,58,Saket PS,Rainy,Morning,CCTV
Burglary,Okhla,2024-12-30,17:58:37,Medium,Peace travel thousand various history.,40,Okhla PS,Rainy,Evening,Citizen
Kidnapping,Rajouri Garden,2023-10-12,14:18:49,Low,Song man tough say he despite field condition company politics.,19,Rajouri Garden PS,Foggy,Afternoon,CCTV
Stalking,Sarojini Nagar,2024-02-13,16:33:56,Medium,Billion travel forward onto character ok.,21,Sarojini Nagar PS,Cloudy,Night,Police
Kidnapping,Laxmi Nagar,2024-09-02,18:58:37,Medium,Cultural brother arrive best father wonder film meeting.,22,Laxmi Nagar PS,Cloudy,Afternoon,Citizen
Assault,Laxmi Nagar,2023-11-10,02:19:54,Medium,His sometimes sell top language region what role senior article.,57,Laxmi Nagar PS,Clear,Afternoon,Citizen
Assault,Vasant Kunj,2023-10-10,20:09:52,Low,Each plant short they cultural think anyone if organization.,62,Vasant Kunj PS,Foggy,Morning,Police
Assault,Janakpuri,2024-06-02,21:57:14,Low,Nothing goal author late despite.,48,Janakpuri PS,Foggy,Afternoon,CCTV
Assault,Vasant Kunj,2024-01-03,21:31:21,Low,Turn throughout explain fund worker time.,67,Vasant Kunj PS,Clear,Evening,Police
Harassment,Connaught Place,2024-08-26,15:42:17,High,Project simply common hit feeling try learn it think.,61,Connaught Place PS,Foggy,Morning,CCTV
Harassment,Janakpuri,2023-09-21,20:29:18,High,Issue decide cover will understand any baby director particularly believe.,30,Janakpuri PS,Foggy,Afternoon,CCTV
Assault,Saket,2024-11-25,05:19:13,High,Truth discuss know else Mr back consider.,64,Saket PS,Foggy,Night,Citizen
Harassment,Sarojini Nagar,2023-02-25,22:02:59,High,We PM defense stand real couple feeling yeah majority protect development.,56,Sarojini Nagar PS,Clear,Morning,CCTV
Burglary,Laxmi Nagar,2023-11-01,05:56:51,High,Than development hold surface week old.,37,Laxmi Nagar PS,Foggy,Evening,Police
Burglary,Khan Market,2024-06-21,18:17:48,High,Nearly consider be race easy bad.,12,Khan Market PS,Clear,Afternoon,CCTV
Kidnapping,Hauz Khas,2023-12-26,16:11:13,Low,Up nation training indicate make class usually.,64,Hauz Khas PS,Foggy,Afternoon,Police
Theft,Janakpuri,2024-06-19,02:50:44,High,Lead impact according technology investment bank outside bank theory next.,51,Janakpuri PS,Clear,Evening,Police
Theft,Pitampura,2023-11-27,17:15:31,Low,Direction bar impact cold that adult.,22,Pitampura PS,Cloudy,Night,CCTV
Kidnapping,Dwarka,2024-05-18,08:29:10,Medium,Act specific pretty hard heart political.,41,Dwarka PS,Cloudy,Night,CCTV
Harassment,Karol Bagh,2024-04-28,03:44:55,Medium,Car detail thousand give.,31,Karol Bagh PS,Clear,Afternoon,CCTV
Burglary,Ashok Vihar,2023-06-13,21:55:15,Medium,Campaign class write cause difficult sure teach.,65,Ashok Vihar PS,Cloudy,Evening,Police
Kidnapping,Okhla,2024-05-25,06:13:54,Medium,Speech eat civil employee represent light movement image.,35,Okhla PS,Clear,Night,Police
Theft,Laxmi Nagar,2023-10-27,22:08:54,Low,Need into life cultural usually image successful.,53,Laxmi Nagar PS,Foggy,Afternoon,Citizen
Theft,Janakpuri,2023-02-12,17:56:53,Low,Key letter whole old every rise lawyer.,53,Janakpuri PS,Clear,Night,CCTV
Harassment,Karol Bagh,2024-11-20,15:52:47,Medium,Later back lawyer or trial practice development.,44,Karol Bagh PS,Cloudy,Night,Police
Assault,Rohini,2025-01-09,16:03:09,High,Improve race although research reveal.,62,Rohini PS,Rainy,Night,Citizen
Burglary,Sarojini Nagar,2024-12-01,16:38:17,Low,Activity dinner plan four apply truth.,42,Sarojini Nagar PS,Rainy,Morning,Police
Assault,Okhla,2023-06-22,19:04:57,Low,Nothing sound certainly course ball woman.,29,Okhla PS,Foggy,Afternoon,CCTV
Kidnapping,Sarojini Nagar,2024-11-30,07:36:20,Medium,Others high matter region seat.,10,Sarojini Nagar PS,Foggy,Evening,Citizen
Theft,Rajouri Garden,2023-08-05,00:25:20,Low,Occur newspaper open protect heart stage.,34,Rajouri Garden PS,Cloudy,Morning,Citizen
Theft,Rohini,2024-07-16,05:36:04,High,Space seek put argue kitchen purpose suffer experience home.,66,Rohini PS,Foggy,Afternoon,Citizen
Assault,Vasant Kunj,2023-12-06,03:17:24,Medium,Among management develop sit investment whose.,19,Vasant Kunj PS,Foggy,Evening,Citizen
Burglary,Paharganj,2023-10-12,10:14:04,Medium,Employee see yes decade yes future opportunity.,23,Paharganj PS,Cloudy,Afternoon,Police
Burglary,Connaught Place,2023-03-22,12:35:07,Low,Answer miss attack claim describe wrong move part author.,12,Connaught Place PS,Foggy,Afternoon,Police
Stalking,Rohini,2024-10-29,12:50:25,Low,Nearly section list drive fine option.,41,Rohini PS,Cloudy,Night,CCTV
Theft,Dwarka,2024-05-15,11:33:29,High,Heavy five scene institution read.,26,Dwarka PS,Clear,Afternoon,Citizen
Assault,Greater Kailash,2023-03-06,18:36:11,High,Site list recognize ground east.,67,Greater Kailash PS,Rainy,Afternoon,Citizen
Kidnapping,Chandni Chowk,2023-04-01,19:01:53,Low,Bank provide garden time size food.,10,Chandni Chowk PS,Rainy,Evening,CCTV
