id,text,location,date,sentiment
59,More street lights installed in Dwarka to improve safety.,Connaught Place,2023-02-25,Positive
60,Another case of harassment reported near Saket metro station.,Chandni Chowk,2023-01-16,Negative
61,New mobile app helps women report harassment instantly.,Greater Kailash,2023-12-24,Positive
62,Recent survey shows rising fear among women in Delhi.,Dwarka,2023-07-27,Negative
63,Women safety measures were discussed in the Delhi Assembly.,Connaught Place,2023-05-30,Neutral
64,NGOs held an awareness campaign in Connaught Place.,Nehru Place,2023-12-18,Neutral
65,The metro is the preferred mode of transport for women in Delhi.,Dwarka,2023-05-29,Neutral
66,Recent survey shows rising fear among women in Delhi.,Karol Bagh,2023-09-07,Negative
67,New mobile app helps women report harassment instantly.,Karol Bagh,2023-01-15,Positive
68,More street lights installed in Dwarka to improve safety.,Lajpat Nagar,2023-03-26,Positive
69,Delhi police launches new helpline for women safety.,Connaught Place,2023-09-06,Positive
70,Traffic congestion continues to be an issue across Delhi.,Rajouri Garden,2023-03-22,Neutral
71,The metro is the preferred mode of transport for women in Delhi.,Rajouri Garden,2023-04-16,Neutral
72,Police response to complaints in Rohini remains slow.,Hauz Khas,2023-01-11,Negative
73,New mobile app helps women report harassment instantly.,Rajouri Garden,2023-04-29,Positive
74,New mobile app helps women report harassment instantly.,Hauz Khas,2023-11-03,Positive
75,Public transport usage among women has remained stable this year.,Greater Kailash,2023-05-20,Neutral
76,Women safety measures were discussed in the Delhi Assembly.,Rajouri Garden,2023-07-01,Neutral
77,The metro is the preferred mode of transport for women in Delhi.,Rohini,2023-05-16,Neutral
78,New mobile app helps women report harassment instantly.,Karol Bagh,2023-10-05,Positive
79,Women safety measures were discussed in the Delhi Assembly.,Hauz Khas,2023-02-26,Neutral
80,Police response to complaints in Rohini remains slow.,Vasant Kunj,2023-05-10,Negative
81,New mobile app helps women report harassment instantly.,Lajpat Nagar,2023-07-03,Positive
82,Another case of harassment reported near Saket metro station.,Rajouri Garden,2023-05-27,Negative
83,The metro is the preferred mode of transport for women in Delhi.,Chandni Chowk,2023-12-24,Neutral
84,Public transport usage among women has remained stable this year.,Rajouri Garden,2023-06-10,Neutral
85,NGOs held an awareness campaign in Connaught Place.,Hauz Khas,2023-11-04,Neutral
86,The metro is the preferred mode of transport for women in Delhi.,Vasant Kunj,2023-05-15,Neutral
87,Lack of proper street lighting makes Chandni Chowk unsafe.,Saket,2023-03-22,Negative
88,Self-defense workshops for women are gaining popularity in Hauz Khas.,Dwarka,2023-10-01,Positive
89,Recent survey shows rising fear among women in Delhi.,Chandni Chowk,2023-08-07,Negative
90,Self-defense workshops for women are gaining popularity in Hauz Khas.,Mayur Vihar,2023-06-07,Positive
91,Self-defense workshops for women are gaining popularity in Hauz Khas.,Vasant Kunj,2023-08-14,Positive
92,More street lights installed in Dwarka to improve safety.,Pitampura,2023-07-11,Positive
93,The metro is the preferred mode of transport for women in Delhi.,Connaught Place,2023-12-31,Neutral
94,Public transport usage among women has remained stable this year.,Vasant Kunj,2023-05-02,Neutral
95,Public transport usage among women has remained stable this year.,Greater Kailash,2023-12-21,Neutral
96,Women feel unsafe walking alone at night in Rajouri Garden.,Nehru Place,2023-01-06,Negative
97,Recent survey shows rising fear among women in Delhi.,Greater Kailash,2023-07-09,Negative
98,Women safety measures were discussed in the Delhi Assembly.,Pitampura,2023-09-20,Neutral
99,Self-defense workshops for women are gaining popularity in Hauz Khas.,Mayur Vihar,2023-05-24,Positive
100,Self-defense workshops for women are gaining popularity in Hauz Khas.,Karol Bagh,2023-01-25,Positive
101,Police response to complaints in Rohini remains slow.,Nehru Place,2023-11-26,Negative
102,Increased patrolling has reduced crime rates in Karol Bagh.,Connaught Place,2023-04-16,Positive
103,Increased patrolling has reduced crime rates in Karol Bagh.,Mayur Vihar,2023-07-26,Positive
104,Delhi police launches new helpline for women safety.,Mayur Vihar,2023-01-01,Positive
105,Traffic congestion continues to be an issue across Delhi.,Rohini,2023-12-02,Neutral
106,Delhi police launches new helpline for women safety.,Dwarka,2023-06-14,Positive
107,The metro is the preferred mode of transport for women in Delhi.,Hauz Khas,2023-04-05,Neutral
108,NGOs held an awareness campaign in Connaught Place.,Pitampura,2023-08-29,Neutral
109,Lack of proper street lighting makes Chandni Chowk unsafe.,Rohini,2023-12-06,Negative
110,Traffic congestion continues to be an issue across Delhi.,Kalkaji,2023-03-21,Neutral
111,New mobile app helps women report harassment instantly.,Mayur Vihar,2023-08-20,Positive
112,Delhi police launches new helpline for women safety.,Connaught Place,2023-03-06,Positive
113,Traffic congestion continues to be an issue across Delhi.,Dwarka,2023-02-15,Neutral
114,Lack of proper street lighting makes Chandni Chowk unsafe.,Greater Kailash,2023-12-30,Negative
115,More street lights installed in Dwarka to improve safety.,Lajpat Nagar,2023-03-21,Positive
116,NGOs held an awareness campaign in Connaught Place.,Pitampura,2023-04-09,Neutral
117,Another case of harassment reported near Saket metro station.,Kalkaji,2023-03-20,Negative
118,New mobile app helps women report harassment instantly.,Hauz Khas,2023-07-13,Positive
119,New mobile app helps women report harassment instantly.,Chandni Chowk,2023-02-16,Positive
120,Police response to complaints in Rohini remains slow.,Dwarka,2023-01-11,Negative
121,NGOs held an awareness campaign in Connaught Place.,Mayur Vihar,2023-02-02,Neutral
122,New mobile app helps women report harassment instantly.,Mayur Vihar,2023-11-05,Positive
123,Self-defense workshops for women are gaining popularity in Hauz Khas.,Dwarka,2023-12-23,Positive
124,Lack of proper street lighting makes Chandni Chowk unsafe.,Greater Kailash,2023-03-12,Negative
125,Women safety measures were discussed in the Delhi Assembly.,Greater Kailash,2023-11-09,Neutral
126,Public transport usage among women has remained stable this year.,Karol Bagh,2023-05-05,Neutral
127,Traffic congestion continues to be an issue across Delhi.,Kalkaji,2023-06-19,Neutral
128,Lack of proper street lighting makes Chandni Chowk unsafe.,Greater Kailash,2023-09-05,Negative
129,Increased patrolling has reduced crime rates in Karol Bagh.,Hauz Khas,2023-10-02,Positive
130,Lack of proper street lighting makes Chandni Chowk unsafe.,Kalkaji,2023-05-14,Negative
131,New mobile app helps women report harassment instantly.,Pitampura,2023-05-01,Positive
132,Women feel unsafe walking alone at night in Rajouri Garden.,Nehru Place,2023-10-28,Negative
133,Lack of proper street lighting makes Chandni Chowk unsafe.,Lajpat Nagar,2023-05-10,Negative
134,Delhi police launches new helpline for women safety.,Greater Kailash,2023-01-22,Positive
135,Police response to complaints in Rohini remains slow.,Lajpat Nagar,2023-06-29,Negative
136,Recent survey shows rising fear among women in Delhi.,Karol Bagh,2023-08-18,Negative
137,The metro is the preferred mode of transport for women in Delhi.,Karol Bagh,2023-01-15,Neutral
138,Increased patrolling has reduced crime rates in Karol Bagh.,Rajouri Garden,2023-06-27,Positive
139,New mobile app helps women report harassment instantly.,Chandni Chowk,2023-02-03,Positive
140,The metro is the preferred mode of transport for women in Delhi.,Lajpat Nagar,2023-09-30,Neutral
141,NGOs held an awareness campaign in Connaught Place.,Saket,2023-04-02,Neutral
142,Women safety measures were discussed in the Delhi Assembly.,Karol Bagh,2023-08-24,Neutral
143,Increased patrolling has reduced crime rates in Karol Bagh.,Dwarka,2023-08-12,Positive
144,Recent survey shows rising fear among women in Delhi.,Connaught Place,2023-11-13,Negative
145,Traffic congestion continues to be an issue across Delhi.,Mayur Vihar,2023-07-18,Neutral
146,Traffic congestion continues to be an issue across Delhi.,Rajouri Garden,2023-11-25,Neutral
147,Public transport usage among women has remained stable this year.,Nehru Place,2023-02-23,Neutral
148,Women feel unsafe walking alone at night in Rajouri Garden.,Connaught Place,2023-01-19,Negative
149,Delhi police launches new helpline for women safety.,Nehru Place,2023-05-13,Positive
150,Delhi police launches new helpline for women safety.,Mayur Vihar,2023-12-27,Positive
151,Self-defense workshops for women are gaining popularity in Hauz Khas.,Vasant Kunj,2023-09-26,Positive
152,NGOs held an awareness campaign in Connaught Place.,Connaught Place,2023-03-07,Neutral
153,Traffic congestion continues to be an issue across Delhi.,Lajpat Nagar,2023-10-17,Neutral
154,Women safety measures were discussed in the Delhi Assembly.,Nehru Place,2023-05-31,Neutral
155,More street lights installed in Dwarka to improve safety.,Kalkaji,2023-01-05,Positive
156,Traffic congestion continues to be an issue across Delhi.,Greater Kailash,2023-02-14,Neutral
157,Recent survey shows rising fear among women in Delhi.,Kalkaji,2023-11-05,Negative
158,Lack of proper street lighting makes Chandni Chowk unsafe.,Saket,2023-12-01,Negative
159,The metro is the preferred mode of transport for women in Delhi.,Nehru Place,2023-06-04,Neutral
160,Women feel unsafe walking alone at night in Rajouri Garden.,Pitampura,2023-05-21,Negative
161,Public transport usage among women has remained stable this year.,Nehru Place,2023-01-06,Neutral
162,More street lights installed in Dwarka to improve safety.,Rohini,2023-08-20,Positive
163,Another case of harassment reported near Saket metro station.,Hauz Khas,2023-03-29,Negative
164,The metro is the preferred mode of transport for women in Delhi.,Greater Kailash,2023-10-31,Neutral
165,Public transport usage among women has remained stable this year.,Rohini,2023-03-24,Neutral
166,Women feel unsafe walking alone at night in Rajouri Garden.,Nehru Place,2024-01-01,Negative
167,More street lights installed in Dwarka to improve safety.,Mayur Vihar,2023-01-12,Positive
168,Self-defense workshops for women are gaining popularity in Hauz Khas.,Saket,2023-01-27,Positive
169,The metro is the preferred mode of transport for women in Delhi.,Pitampura,2023-09-19,Neutral
170,More street lights installed in Dwarka to improve safety.,Vasant Kunj,2023-05-17,Positive
171,New mobile app helps women report harassment instantly.,Greater Kailash,2023-12-31,Positive
172,The metro is the preferred mode of transport for women in Delhi.,Dwarka,2023-07-23,Neutral
173,Recent survey shows rising fear among women in Delhi.,Karol Bagh,2023-12-10,Negative
174,The metro is the preferred mode of transport for women in Delhi.,Karol Bagh,2023-05-23,Neutral
175,Recent survey shows rising fear among women in Delhi.,Connaught Place,2023-02-13,Negative
176,Lack of proper street lighting makes Chandni Chowk unsafe.,Rohini,2023-09-28,Negative
177,Recent survey shows rising fear among women in Delhi.,Mayur Vihar,2023-12-15,Negative
178,Self-defense workshops for women are gaining popularity in Hauz Khas.,Nehru Place,2023-01-28,Positive
179,New mobile app helps women report harassment instantly.,Nehru Place,2023-12-26,Positive
180,Traffic congestion continues to be an issue across Delhi.,Vasant Kunj,2023-08-31,Neutral
181,The metro is the preferred mode of transport for women in Delhi.,Greater Kailash,2023-07-08,Neutral
182,Women feel unsafe walking alone at night in Rajouri Garden.,Nehru Place,2023-12-22,Negative
183,Women feel unsafe walking alone at night in Rajouri Garden.,Nehru Place,2023-04-26,Negative
184,Delhi police launches new helpline for women safety.,Karol Bagh,2023-03-15,Positive
185,The metro is the preferred mode of transport for women in Delhi.,Kalkaji,2023-04-17,Neutral
186,Lack of proper street lighting makes Chandni Chowk unsafe.,Dwarka,2023-11-11,Negative
187,Women safety measures were discussed in the Delhi Assembly.,Vasant Kunj,2023-04-18,Neutral
188,Lack of proper street lighting makes Chandni Chowk unsafe.,Lajpat Nagar,2023-03-28,Negative
189,More street lights installed in Dwarka to improve safety.,Greater Kailash,2023-03-01,Positive
190,Increased patrolling has reduced crime rates in Karol Bagh.,Pitampura,2023-04-08,Positive
191,Another case of harassment reported near Saket metro station.,Dwarka,2023-03-11,Negative
192,Public transport usage among women has remained stable this year.,Dwarka,2023-02-22,Neutral
193,Self-defense workshops for women are gaining popularity in Hauz Khas.,Karol Bagh,2023-02-18,Positive
194,Self-defense workshops for women are gaining popularity in Hauz Khas.,Lajpat Nagar,2023-06-22,Positive
195,More street lights installed in Dwarka to improve safety.,Rajouri Garden,2023-10-12,Positive
196,The metro is the preferred mode of transport for women in Delhi.,Rohini,2023-03-19,Neutral
197,Women feel unsafe walking alone at night in Rajouri Garden.,Kalkaji,2023-12-18,Negative
198,New mobile app helps women report harassment instantly.,Lajpat Nagar,2023-06-25,Positive
199,More street lights installed in Dwarka to improve safety.,Nehru Place,2023-10-19,Positive
200,Women safety measures were discussed in the Delhi Assembly.,Connaught Place,2023-08-18,Neutral
201,Recent survey shows rising fear among women in Delhi.,Kalkaji,2023-12-27,Negative
202,Recent survey shows rising fear among women in Delhi.,Chandni Chowk,2023-05-26,Negative
203,Lack of proper street lighting makes Chandni Chowk unsafe.,Saket,2023-06-21,Negative
204,New mobile app helps women report harassment instantly.,Nehru Place,2023-07-30,Positive
205,Delhi police launches new helpline for women safety.,Lajpat Nagar,2023-04-14,Positive
206,The metro is the preferred mode of transport for women in Delhi.,Mayur Vihar,2023-10-13,Neutral
207,Women safety measures were discussed in the Delhi Assembly.,Rohini,2023-02-23,Neutral
208,Women safety measures were discussed in the Delhi Assembly.,Saket,2023-06-25,Neutral
209,Recent survey shows rising fear among women in Delhi.,Greater Kailash,2023-09-23,Negative
210,Another case of harassment reported near Saket metro station.,Pitampura,2023-03-23,Negative
211,Traffic congestion continues to be an issue across Delhi.,Nehru Place,2023-05-23,Neutral
212,Public transport usage among women has remained stable this year.,Connaught Place,2023-02-11,Neutral
213,Another case of harassment reported near Saket metro station.,Mayur Vihar,2023-07-14,Negative
214,The metro is the preferred mode of transport for women in Delhi.,Greater Kailash,2023-06-17,Neutral
215,Delhi police launches new helpline for women safety.,Hauz Khas,2023-12-09,Positive
216,Public transport usage among women has remained stable this year.,Rajouri Garden,2023-02-19,Neutral
217,Traffic congestion continues to be an issue across Delhi.,Mayur Vihar,2023-10-25,Neutral
218,Police response to complaints in Rohini remains slow.,Pitampura,2023-03-09,Negative
219,Increased patrolling has reduced crime rates in Karol Bagh.,Connaught Place,2023-09-21,Positive
220,Women safety measures were discussed in the Delhi Assembly.,Nehru Place,2023-10-14,Neutral
221,NGOs held an awareness campaign in Connaught Place.,Karol Bagh,2023-08-04,Neutral
222,Police response to complaints in Rohini remains slow.,Saket,2023-08-10,Negative
223,Public transport usage among women has remained stable this year.,Karol Bagh,2023-10-22,Neutral
224,Women safety measures were discussed in the Delhi Assembly.,Rohini,2023-01-11,Neutral
225,Lack of proper street lighting makes Chandni Chowk unsafe.,Mayur Vihar,2023-04-14,Negative
226,Women safety measures were discussed in the Delhi Assembly.,Saket,2023-07-30,Neutral
227,Women safety measures were discussed in the Delhi Assembly.,Mayur Vihar,2023-08-01,Neutral
228,Women safety measures were discussed in the Delhi Assembly.,Kalkaji,2023-11-24,Neutral
229,Traffic congestion continues to be an issue across Delhi.,Rohini,2023-03-12,Neutral
230,Traffic congestion continues to be an issue across Delhi.,Lajpat Nagar,2023-04-10,Neutral
231,More street lights installed in Dwarka to improve safety.,Rohini,2023-07-07,Positive
232,Public transport usage among women has remained stable this year.,Rohini,2023-08-23,Neutral
233,Women feel unsafe walking alone at night in Rajouri Garden.,Vasant Kunj,2023-06-04,Negative
234,Women safety measures were discussed in the Delhi Assembly.,Hauz Khas,2023-07-24,Neutral
235,Public transport usage among women has remained stable this year.,Vasant Kunj,2023-05-05,Neutral
236,Traffic congestion continues to be an issue across Delhi.,Rajouri Garden,2023-06-16,Neutral
237,Lack of proper street lighting makes Chandni Chowk unsafe.,Dwarka,2023-08-12,Negative
238,Public transport usage among women has remained stable this year.,Karol Bagh,2023-12-09,Neutral
239,The metro is the preferred mode of transport for women in Delhi.,Chandni Chowk,2023-01-17,Neutral
240,New mobile app helps women report harassment instantly.,Lajpat Nagar,2023-05-09,Positive
241,New mobile app helps women report harassment instantly.,Chandni Chowk,2023-08-15,Positive
242,Lack of proper street lighting makes Chandni Chowk unsafe.,Greater Kailash,2023-01-27,Negative
243,Police response to complaints in Rohini remains slow.,Saket,2023-08-01,Negative
244,Police response to complaints in Rohini remains slow.,Karol Bagh,2023-02-20,Negative
245,Another case of harassment reported near Saket metro station.,Saket,2023-05-22,Negative
246,Women safety measures were discussed in the Delhi Assembly.,Connaught Place,2023-09-25,Neutral
247,Lack of proper street lighting makes Chandni Chowk unsafe.,Chandni Chowk,2023-05-19,Negative
248,More street lights installed in Dwarka to improve safety.,Pitampura,2024-01-01,Positive
249,Increased patrolling has reduced crime rates in Karol Bagh.,Kalkaji,2023-06-03,Positive
250,More street lights installed in Dwarka to improve safety.,Dwarka,2023-12-20,Positive
251,The metro is the preferred mode of transport for women in Delhi.,Nehru Place,2023-07-23,Neutral
252,More street lights installed in Dwarka to improve safety.,Chandni Chowk,2023-04-29,Positive
253,Recent survey shows rising fear among women in Delhi.,Rajouri Garden,2023-04-30,Negative
254,Public transport usage among women has remained stable this year.,Hauz Khas,2023-06-16,Neutral
255,Public transport usage among women has remained stable this year.,Karol Bagh,2023-08-24,Neutral
256,Women feel unsafe walking alone at night in Rajouri Garden.,Hauz Khas,2023-03-24,Negative
257,The metro is the preferred mode of transport for women in Delhi.,Pitampura,2023-10-03,Neutral
258,Public transport usage among women has remained stable this year.,Rohini,2023-09-08,Neutral
259,Traffic congestion continues to be an issue across Delhi.,Karol Bagh,2023-11-11,Neutral
260,Traffic congestion continues to be an issue across Delhi.,Rajouri Garden,2023-12-03,Neutral
261,New mobile app helps women report harassment instantly.,Hauz Khas,2023-05-24,Positive
262,Increased patrolling has reduced crime rates in Karol Bagh.,Lajpat Nagar,2023-07-11,Positive
263,Recent survey shows rising fear among women in Delhi.,Saket,2023-12-03,Negative
264,Delhi police launches new helpline for women safety.,Connaught Place,2023-04-12,Positive
265,Increased patrolling has reduced crime rates in Karol Bagh.,Connaught Place,2023-11-28,Positive
266,New mobile app helps women report harassment instantly.,Lajpat Nagar,2023-05-22,Positive
267,Recent survey shows rising fear among women in Delhi.,Hauz Khas,2023-12-27,Negative
268,NGOs held an awareness campaign in Connaught Place.,Pitampura,2023-10-28,Neutral
269,NGOs held an awareness campaign in Connaught Place.,Vasant Kunj,2023-06-01,Neutral
270,Recent survey shows rising fear among women in Delhi.,Hauz Khas,2023-02-25,Negative
271,Another case of harassment reported near Saket metro station.,Kalkaji,2023-07-08,Negative
272,Traffic congestion continues to be an issue across Delhi.,Chandni Chowk,2023-10-14,Neutral
273,The metro is the preferred mode of transport for women in Delhi.,Connaught Place,2023-05-13,Neutral
274,Self-defense workshops for women are gaining popularity in Hauz Khas.,Mayur Vihar,2023-01-02,Positive
275,NGOs held an awareness campaign in Connaught Place.,Lajpat Nagar,2023-04-22,Neutral
276,Women feel unsafe walking alone at night in Rajouri Garden.,Connaught Place,2023-06-20,Negative
277,Women feel unsafe walking alone at night in Rajouri Garden.,Pitampura,2023-11-30,Negative
278,Public transport usage among women has remained stable this year.,Dwarka,2023-04-27,Neutral
279,Traffic congestion continues to be an issue across Delhi.,Hauz Khas,2023-04-03,Neutral
280,Traffic congestion continues to be an issue across Delhi.,Pitampura,2023-01-04,Neutral
281,New mobile app helps women report harassment instantly.,Dwarka,2023-02-28,Positive
282,Public transport usage among women has remained stable this year.,Chandni Chowk,2023-07-03,Neutral
283,The metro is the preferred mode of transport for women in Delhi.,Chandni Chowk,2023-01-08,Neutral
284,Delhi police launches new helpline for women safety.,Chandni Chowk,2023-04-13,Positive
285,New mobile app helps women report harassment instantly.,Karol Bagh,2023-02-02,Positive
286,Another case of harassment reported near Saket metro station.,Mayur Vihar,2023-04-26,Negative
287,Another case of harassment reported near Saket metro station.,Vasant Kunj,2023-08-13,Negative
288,Recent survey shows rising fear among women in Delhi.,Hauz Khas,2023-03-06,Negative
289,Police response to complaints in Rohini remains slow.,Nehru Place,2023-09-28,Negative
290,Increased patrolling has reduced crime rates in Karol Bagh.,Saket,2023-12-15,Positive
291,Women feel unsafe walking alone at night in Rajouri Garden.,Greater Kailash,2023-01-17,Negative
292,Another case of harassment reported near Saket metro station.,Rajouri Garden,2023-04-07,Negative
293,Self-defense workshops for women are gaining popularity in Hauz Khas.,Hauz Khas,2023-05-30,Positive
294,Traffic congestion continues to be an issue across Delhi.,Dwarka,2023-08-16,Neutral
295,Increased patrolling has reduced crime rates in Karol Bagh.,Saket,2023-09-27,Positive
296,Women safety measures were discussed in the Delhi Assembly.,Vasant Kunj,2023-10-16,Neutral
297,Recent survey shows rising fear among women in Delhi.,Greater Kailash,2023-12-14,Negative
298,The metro is the preferred mode of transport for women in Delhi.,Nehru Place,2023-08-23,Neutral
299,Increased patrolling has reduced crime rates in Karol Bagh.,Nehru Place,2023-12-08,Positive
300,The metro is the preferred mode of transport for women in Delhi.,Rohini,2023-11-16,Neutral
301,Public transport usage among women has remained stable this year.,Rohini,2023-12-25,Neutral
302,Lack of proper street lighting makes Chandni Chowk unsafe.,Karol Bagh,2023-09-13,Negative
303,Delhi police launches new helpline for women safety.,Connaught Place,2023-09-22,Positive
304,New mobile app helps women report harassment instantly.,Nehru Place,2023-07-06,Positive
305,More street lights installed in Dwarka to improve safety.,Lajpat Nagar,2023-01-31,Positive
306,Recent survey shows rising fear among women in Delhi.,Hauz Khas,2023-10-13,Negative
307,NGOs held an awareness campaign in Connaught Place.,Saket,2023-05-01,Neutral
308,More street lights installed in Dwarka to improve safety.,Lajpat Nagar,2023-10-27,Positive
309,Recent survey shows rising fear among women in Delhi.,Vasant Kunj,2023-04-27,Negative
310,Delhi police launches new helpline for women safety.,Pitampura,2023-04-08,Positive
311,New mobile app helps women report harassment instantly.,Rohini,2023-09-09,Positive
312,Recent survey shows rising fear among women in Delhi.,Saket,2023-10-26,Negative
313,Traffic congestion continues to be an issue across Delhi.,Kalkaji,2023-10-04,Neutral
314,Police response to complaints in Rohini remains slow.,Connaught Place,2023-09-20,Negative
315,Police response to complaints in Rohini remains slow.,Greater Kailash,2023-05-11,Negative
316,Another case of harassment reported near Saket metro station.,Karol Bagh,2023-11-25,Negative
317,Lack of proper street lighting makes Chandni Chowk unsafe.,Connaught Place,2023-12-19,Negative
318,Public transport usage among women has remained stable this year.,Nehru Place,2023-06-14,Neutral
319,The metro is the preferred mode of transport for women in Delhi.,Greater Kailash,2023-08-18,Neutral
320,Increased patrolling has reduced crime rates in Karol Bagh.,Karol Bagh,2023-05-23,Positive
321,The metro is the preferred mode of transport for women in Delhi.,Mayur Vihar,2023-05-26,Neutral
322,More street lights installed in Dwarka to improve safety.,Chandni Chowk,2023-08-07,Positive
323,Lack of proper street lighting makes Chandni Chowk unsafe.,Kalkaji,2023-12-08,Negative
324,Another case of harassment reported near Saket metro station.,Kalkaji,2023-07-03,Negative
325,Traffic congestion continues to be an issue across Delhi.,Rajouri Garden,2023-08-05,Neutral
326,NGOs held an awareness campaign in Connaught Place.,Karol Bagh,2023-03-29,Neutral
327,Increased patrolling has reduced crime rates in Karol Bagh.,Nehru Place,2023-03-17,Positive
328,Women feel unsafe walking alone at night in Rajouri Garden.,Hauz Khas,2023-03-26,Negative
329,Lack of proper street lighting makes Chandni Chowk unsafe.,Pitampura,2023-02-11,Negative
330,More street lights installed in Dwarka to improve safety.,Chandni Chowk,2023-09-08,Positive
331,Police response to complaints in Rohini remains slow.,Hauz Khas,2023-03-26,Negative
332,Another case of harassment reported near Saket metro station.,Karol Bagh,2023-11-03,Negative
333,More street lights installed in Dwarka to improve safety.,Kalkaji,2023-01-31,Positive
334,Lack of proper street lighting makes Chandni Chowk unsafe.,Rajouri Garden,2023-05-09,Negative
335,Police response to complaints in Rohini remains slow.,Nehru Place,2023-02-08,Negative
