Crime Type,Latitude,Longitude,Date,Time,Severity,Crime Description,Victim Age,Police Station,Weather Condition,Time of Day,Incident Reported
Vandalism,28.809477,77.221936,2022-08-19,03:59,1,Stolen bike,50,Rohini North Police Station,Haze,Night,No
Robbery,28.793142,77.079404,2023-10-16,13:30,3,Stolen bike,33,Kashmere Gate Police Station,Clear,Afternoon,No
Burglary,28.7448,77.014754,2024-08-12,00:38,3,Stolen bike,41,Lajpat Nagar Police Station,Haze,Night,Yes
Burglary,28.602683,76.953469,2022-03-08,07:37,3,Car theft,54,Lajpat Nagar Police Station,Cloudy,Morning,Yes
Harassment,28.478131,77.205092,2022-03-15,04:19,4,Cyber fraud,36,Kashmere Gate Police Station,Clear,Night,Yes
Theft,28.578868,76.916614,2022-04-16,02:43,5,Cyber fraud,39,Kashmere Gate Police Station,Rain,Night,No
Robbery,28.584087,77.291229,2022-08-23,12:04,2,Public intoxication,18,Vasant Kunj Police Station,Fog,Afternoon,No
Assault,28.48185,77.170495,2024-07-14,04:12,3,Car theft,40,Lajpat Nagar Police Station,Fog,Night,No
Murder,28.556351,76.969908,2023-05-27,12:08,3,Cyber fraud,22,Rohini North Police Station,Rain,Afternoon,No
Burglary,28.714353,76.937886,2023-01-13,03:26,5,Public intoxication,27,Lajpat Nagar Police Station,Cloudy,Night,Yes
Burglary,28.867826,77.069638,2022-04-26,14:49,1,Shoplifting,47,Lajpat Nagar Police Station,Cloudy,Afternoon,Yes
Murder,28.466309,77.243832,2022-02-03,03:45,3,Stolen bike,25,Vasant Kunj Police Station,Rain,Night,Yes
Burglary,28.619426,76.817851,2023-09-13,00:00,2,Chain snatching,33,Lajpat Nagar Police Station,Haze,Night,Yes
Assault,28.507855,77.126708,2022-01-12,06:25,2,Public intoxication,44,Lajpat Nagar Police Station,Haze,Morning,Yes
Burglary,28.433625,77.140066,2024-01-04,07:15,4,Stolen bike,54,Dwarka Sector 10 Police Station,Rain,Morning,No
Vandalism,28.470982,76.851152,2024-11-28,07:37,2,Street robbery,19,Dwarka Sector 10 Police Station,Clear,Morning,No
Theft,28.501324,76.867062,2020-09-04,11:57,4,Chain snatching,22,Dwarka Sector 10 Police Station,Fog,Morning,No
Harassment,28.82526,77.25509,2020-09-20,18:24,5,Domestic violence,41,Dwarka Sector 10 Police Station,Cloudy,Evening,Yes
Harassment,28.444484,76.867585,2021-01-05,23:25,4,Car theft,59,Dwarka Sector 10 Police Station,Clear,Night,Yes
Harassment,28.483534,77.068353,2023-11-25,21:14,1,Public intoxication,50,Vasant Kunj Police Station,Cloudy,Night,Yes
Robbery,28.728969,77.041542,2022-03-17,18:27,1,Shoplifting,24,Rohini North Police Station,Cloudy,Evening,Yes
Fraud,28.482384,77.064615,2021-02-07,18:17,1,Street robbery,53,Kashmere Gate Police Station,Cloudy,Evening,No
Murder,28.668944,77.01434,2020-02-13,08:26,1,Chain snatching,46,Lajpat Nagar Police Station,Haze,Morning,Yes
Assault,28.635581,77.278615,2022-10-08,08:25,4,Street robbery,54,Vasant Kunj Police Station,Fog,Morning,Yes
Burglary,28.704341,77.043737,2020-01-06,20:50,2,Street robbery,60,Vasant Kunj Police Station,Rain,Night,No
Burglary,28.708806,76.99901,2021-12-10,20:40,5,Public intoxication,25,Vasant Kunj Police Station,Rain,Night,Yes
Theft,28.797424,76.918716,2023-10-16,08:23,4,Car theft,41,Dwarka Sector 10 Police Station,Rain,Morning,Yes
Robbery,28.502093,76.884768,2021-06-17,12:14,3,Public intoxication,45,Lajpat Nagar Police Station,Fog,Afternoon,No
Robbery,28.84372,76.996795,2021-08-13,08:57,1,Cyber fraud,30,Connaught Place Police Station,Haze,Morning,No
Vandalism,28.894334,76.983848,2020-07-31,09:14,4,Domestic violence,21,Connaught Place Police Station,Cloudy,Morning,No
Fraud,28.691879,77.109422,2020-10-02,05:29,3,Car theft,21,Lajpat Nagar Police Station,Clear,Morning,No
Robbery,28.777921,77.208807,2020-10-22,05:49,5,Public intoxication,18,Connaught Place Police Station,Cloudy,Morning,Yes
Fraud,28.544953,77.013348,2021-05-18,02:57,3,Cyber fraud,49,Rohini North Police Station,Clear,Night,Yes
Assault,28.863874,77.175298,2023-08-12,11:15,5,Street robbery,59,Vasant Kunj Police Station,Rain,Morning,No
Assault,28.893811,76.84797,2022-11-20,10:36,2,Car theft,31,Lajpat Nagar Police Station,Haze,Morning,No
Murder,28.818932,77.118662,2020-07-04,17:53,3,Street robbery,43,Lajpat Nagar Police Station,Haze,Evening,Yes
Robbery,28.862736,76.866979,2022-09-22,04:14,2,Shoplifting,27,Lajpat Nagar Police Station,Haze,Night,Yes
Vandalism,28.797537,77.148754,2021-10-01,19:20,1,Public intoxication,19,Kashmere Gate Police Station,Rain,Evening,No
Harassment,28.419305,76.864407,2023-01-28,04:59,1,Domestic violence,21,Rohini North Police Station,Rain,Night,Yes
Harassment,28.734346,77.296783,2020-06-06,08:42,4,Chain snatching,24,Dwarka Sector 10 Police Station,Fog,Morning,No
Assault,28.835356,76.89549,2022-07-07,22:40,2,Public intoxication,59,Lajpat Nagar Police Station,Haze,Night,No
Vandalism,28.87741,77.044881,2020-09-22,00:35,5,Domestic violence,41,Rohini North Police Station,Rain,Night,Yes
Theft,28.460043,77.257326,2023-01-16,08:20,2,Car theft,21,Rohini North Police Station,Clear,Morning,No
Assault,28.728699,76.886421,2022-09-24,18:58,1,Domestic violence,36,Rohini North Police Station,Fog,Evening,Yes
Harassment,28.616744,77.101058,2021-07-16,22:15,3,Domestic violence,50,Kashmere Gate Police Station,Cloudy,Night,No
Fraud,28.830025,77.275435,2022-09-13,21:43,5,Chain snatching,32,Kashmere Gate Police Station,Fog,Night,No
Theft,28.409289,76.836498,2023-06-04,03:29,5,Chain snatching,20,Lajpat Nagar Police Station,Cloudy,Night,Yes
Harassment,28.699857,76.87778,2022-05-15,13:15,5,Public intoxication,35,Connaught Place Police Station,Haze,Afternoon,No
Vandalism,28.647384,77.012116,2022-04-25,20:21,5,Stolen bike,22,Kashmere Gate Police Station,Cloudy,Night,Yes
Robbery,28.62157,77.038248,2022-05-04,13:26,2,Shoplifting,56,Rohini North Police Station,Fog,Afternoon,Yes
Theft,28.88495,77.238255,2022-02-18,05:45,4,Shoplifting,60,Vasant Kunj Police Station,Haze,Morning,No
Assault,28.53706,77.03537,2023-01-19,08:39,3,Chain snatching,26,Rohini North Police Station,Cloudy,Morning,Yes
Assault,28.785714,77.178055,2020-02-02,07:47,1,Public intoxication,59,Lajpat Nagar Police Station,Fog,Morning,No
Harassment,28.707334,76.915407,2024-11-30,18:58,3,Shoplifting,46,Connaught Place Police Station,Clear,Evening,Yes
Assault,28.455437,77.121673,2021-12-16,21:08,1,Car theft,26,Kashmere Gate Police Station,Rain,Night,Yes
Robbery,28.552029,76.989035,2024-05-08,04:42,3,Cyber fraud,38,Lajpat Nagar Police Station,Rain,Night,No
Theft,28.406034,76.881632,2024-10-04,19:20,5,Car theft,31,Vasant Kunj Police Station,Fog,Evening,No
Theft,28.621154,77.229505,2021-02-28,18:51,2,Public intoxication,39,Vasant Kunj Police Station,Cloudy,Evening,No
Theft,28.558225,76.878749,2020-03-11,01:13,3,Domestic violence,18,Vasant Kunj Police Station,Rain,Night,Yes
Robbery,28.889617,76.871128,2023-12-11,15:37,2,Stolen bike,36,Dwarka Sector 10 Police Station,Clear,Afternoon,Yes
Fraud,28.656428,76.974438,2021-09-03,17:27,2,Street robbery,50,Dwarka Sector 10 Police Station,Cloudy,Evening,No
Murder,28.612427,76.838899,2024-07-26,12:29,2,Stolen bike,30,Dwarka Sector 10 Police Station,Clear,Afternoon,No
Assault,28.541073,77.137959,2023-03-20,13:34,5,Street robbery,49,Vasant Kunj Police Station,Fog,Afternoon,No
